Model,MAE,MSE,R2
LinearRegression,80879.09723489163,10089009300.893644,0.917997170683436
RobustRegression,200714.83530019605,62803061981.468376,0.48954068544988116
RidgeRegression,80882.08068490674,10089716572.554758,0.91799142202412
LassoRegression,80879.15942634383,10089021397.171635,0.9179970723656538
ElasticNet,100124.30560527804,15561491345.783438,0.8735171828391082
PolynomialRegression,80886.67186800564,10099268121.963535,0.9179137876348041
SGDRegressor,1.0883953219573024e+18,1.2069394461828139e+36,-9.809927461558691e+24
ANN,200536.14342894574,62721632663.96769,0.4902025377909015
RandomForest,94695.76834838394,14453392365.456375,0.8825237412473327
SVM,279212.7242489848,123219501896.69862,-0.001520315935481742
LGBM,87681.38040878708,12313469588.940966,0.8999168981926512
XGBoost,96076.29387955746,14912750470.898375,0.8787901076275872
KNN,203987.4662913469,63314173406.63843,0.48538640412155953
